sat_key,former_code,unique_code,description,pieces_per_package,number_of_pieces,accesories_kit,supplier,exterior_color_or_design,product_type,line,classification,main_material,resistance_main_material,design_type,impression,warehouse,rack,level,wholesale,retail,sat_unit_key,wholesale_unit,only_measure,outer_length,inner_length,price,child,parent,factor,average,stores_discount,retails_discount,discount_when_armed
14121500,2302,2302N,Cofre chico naranja,1,1,,Comercializadora de Cartón y Diseño,Naranja,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,18 x 12 x 8.5,,,109.91,,,,,35,35,
14121500,2302,2302O,Cofre chico orquidea,1,1,,Comercializadora de Cartón y Diseño,Orquidea,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,18 x 12 x 8.5,,,109.91,,,,,35,35,
14121500,2302,2302ROJO,Cofre chico rojo,1,1,,Comercializadora de Cartón y Diseño,Rojo,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,18 x 12 x 8.5,,,109.91,,,,,35,35,
14121500,2302,2302ROSA,Cofre chico rosa,1,1,,Comercializadora de Cartón y Diseño,Rosa,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,18 x 12 x 8.5,,,109.91,,,,,35,35,
14121500,2302,2302V,Cofre chico verde,1,1,,Comercializadora de Cartón y Diseño,Verde,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,18 x 12 x 8.5,,,109.91,,,,,35,35,
14121500,2303,2303AM,Hexagono 3 charolas amarillo,1,1,,Comercializadora de Cartón y Diseño,Amarillo,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,10.5 x 10.5 x 11,,,63.79,,,,,35,35,
14121500,2303,2303AZ,Hexagono 3 charolas azul,1,1,,Comercializadora de Cartón y Diseño,Azul,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,10.5 x 10.5 x 11,,,63.79,,,,,35,35,
14121500,2303,2303AZM,Hexagono 3 charolas azul marino,1,1,,Comercializadora de Cartón y Diseño,Azul Marino,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,10.5 x 10.5 x 11,,,63.79,,,,,35,35,
14121500,2303,2303F,Hexagono 3 charolas fiusha,1,1,,Comercializadora de Cartón y Diseño,Fiusha,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,10.5 x 10.5 x 11,,,63.79,,,,,35,35,
14121500,2303,2303N,Hexagono 3 charolas naranja,1,1,,Comercializadora de Cartón y Diseño,Naranja,,hogar,de línea,Cartón rígido,,,,Corrugado,,,,,H87,,10.5 x 10.5 x 11,,,63.79,,,,,35,35,
