cod,desc,price,bu,line,class,type,sat_key,unit,color
4903,Cr 80caja reg 29 ect 50x40x50,38.34844,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4904,Cr 70 caja reg  29 ect 55x45x35,40.3013,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4904SG,Cr 70 caja reg sg 55x45x35,23.39662,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4905SG,Cr 60 caja reg sg 62x37x25,15.60026,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4906,Cr 50 caja reg 29 ect 50x40x25,32.4974,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4906SG,Cr 50 caja reg sg  50x40x25,17.22136,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4907,Cr 75dc caja reg 42 ect 80x50x50,93.60156,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4908,Cr 45 caja reg 29 ect 60x30x25,27.30234,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4908SG,Cr 45 caja reg sg 60x30x25,14.6276,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4909,Cr 40 caja reg 29 ect 40x30x40,22.74818,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4909SG,Cr 40 caja reg sg 40x30x40,14.95182,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4910,Cr 30 caja reg 26ect 45x30x30,21.77552,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4910SG,Cr 30 caja reg sg 45x30x30,11.70208,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4911,Cr 30n caja reg navideña 26 ect 45x30x30,23.72838,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4912,Cr 20 caja reg 26 ect 40x30x30,18.52578,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4912SG,Cr 20 caja reg sg 40x30x30,10.72188,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4913,Cr 15 caja reg 26 ect 30x20x20,10.39766,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
4914,Cr 10 caja reg 26 ect 40x30x20,16.2487,Diseños de Cartón,alimentos y regalos,de línea,caja,24112500,Pieza,blanco
